job_title,job_description,skills_extracted,location,experience,role_category,source_dataset
Data Scientist-Client Engineering,"Consulting, Machine learning, Healthcare, Presales, Python, Automation, data science, Analytical","Consulting, Machine learning, Healthcare, Presales, Python, Automation, data science, Analytical",Mumbai,5-10,Data Science,Naukri
Sr. Data Scientist,"python, machine learning, Artificial Intelligence","python, machine learning, Artificial Intelligence",Bangalore/Bengaluru,4-9,Data Science,Naukri
Sr Data Scientist,"Supply chain, Computer science, Data analysis, Simulation, Machine learning, Open source, Data mining, SQL","Supply chain, Computer science, Data analysis, Simulation, Machine learning, Open source, Data mining, SQL",Bangalore/Bengaluru,4-9,Data Science,Naukri
Senior Data Scientist -Python+ML(5-7 years),"python, Web Framework, Machine Learning, tensorflow, Django, Neural Networks, flask, artificial intelligence","python, Web Framework, Machine Learning, tensorflow, Django, Neural Networks, flask, artificial intelligence",Bangalore/Bengaluru,5-7,Data Science,Naukri
Hiring Senior Data Scientist - AI ( Remote) || Hanu,"Data Science, Artificial Intelligence, azure, IT Skills, Python, Machine Learning, Cloud, Big Data","Data Science, Artificial Intelligence, azure, IT Skills, Python, Machine Learning, Cloud, Big Data","Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",13-20,Data Science,Naukri
Senior Data Scientist,"statistics, Supply chain, gcp, aws","statistics, Supply chain, gcp, aws","Bangalore/Bengaluru, Mumbai (All Areas)",5-9,Data Science,Naukri
Data Scientist Opportunity with PayU - Diversity Hiring,"python, Django, pytorch, Text Mining, Predictive Analytics, Pattern Recognition, Natural Language Processing, Data Mining","python, Django, pytorch, Text Mining, Predictive Analytics, Pattern Recognition, Natural Language Processing, Data Mining","Gurgaon/Gurugram, Bangalore/Bengaluru, Mumbai (All Areas)",2-7,Data Science,Naukri
Data Scientist 1,"Data analysis, Sales operations, Consulting, Machine learning, Data mining, Operations, Analytics, Financial services","Data analysis, Sales operations, Consulting, Machine learning, Data mining, Operations, Analytics, Financial services",Bangalore/Bengaluru,4-8,Data Science,Naukri
Data Scientist: Advanced Analytics,"IVR, Enterprise applications, Open source, LEX, Python, AWS services, Dynamo DB, analytical","IVR, Enterprise applications, Open source, LEX, Python, AWS services, Dynamo DB, analytical",Bangalore/Bengaluru,3-7,Data Science,Naukri
Data Scientist: Advanced Analytics,"Interpersonal skills, Javascript, Open source, LEX, Python, advanced analytics, Architecture, Investigation","Interpersonal skills, Javascript, Open source, LEX, Python, advanced analytics, Architecture, Investigation",Bangalore/Bengaluru,3-7,Data Science,Naukri
