company_name,rating,reviews,jobs,interviews,highly_rated_for,critically_rated_for
NeoSOFT,4.0,1.5k,7,237,"Skill Development / Learning, Work Life Balance, Work Satisfaction",
Uflex,3.8,1.5k,24,100,Job Security,"Promotions / Appraisal, Company Culture"
Reliance General Insurance,3.8,1.5k,61,77,,Promotions / Appraisal
Dr Lal PathLabs,4.2,1.5k,26,120,"Job Security, Skill Development / Learning, Company Culture",
Thomson Reuters,4.1,1.5k,5,104,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
Kotak Securities,3.7,1.5k,8,107,,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
Tata Teleservices,4.1,1.5k,--,30,"Work Life Balance, Skill Development / Learning, Company Culture",
Exl India,3.5,1.5k,--,88,Job Security,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Taurus BPO Services,4.6,1.5k,--,25,"Skill Development / Learning, Company Culture, Job Security",
Panasonic Life Solutions India,4.1,1.5k,16,60,"Job Security, Work Life Balance, Salary & Benefits",Promotions / Appraisal
GAO Tek,4.5,1.5k,13,84,"Skill Development / Learning, Work Life Balance, Company Culture",Salary & Benefits
