company_name,rating,reviews,jobs,interviews,highly_rated_for,critically_rated_for
Vedang Cellular Services,3.9,428,5,22,Salary & Benefits,
Ramkrishna Forgings,3.5,428,--,41,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Celebi Aviation Holding,3.9,427,--,24,Skill Development / Learning,Promotions / Appraisal
Xerox,3.9,427,4,21,"Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Infiniti Research,4.0,427,9,31,"Job Security, Work Life Balance, Skill Development / Learning",
Dineshchandra R Agarwal Infracon,4.2,427,6,30,"Salary & Benefits, Work Satisfaction, Job Security",
TVS Eurogrip,3.7,427,5,24,,"Promotions / Appraisal, Company Culture, Salary & Benefits"
Saudi Binladin Group,4.1,427,--,30,"Work Life Balance, Skill Development / Learning, Job Security",
Inspira Enterprise India Limited,3.7,426,4,39,,"Promotions / Appraisal, Company Culture"
Transrail Lighting,3.9,426,2,35,Job Security,"Promotions / Appraisal, Skill Development / Learning"
Heidelberg Cement,4.2,426,--,27,"Job Security, Work Life Balance, Company Culture",
NBTC GROUP,3.5,426,--,18,,"Promotions / Appraisal, Company Culture, Work Life Balance"
IDBI Intech Limited,3.6,426,2,35,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Company Culture"
Apollo Health and Lifestyle,4.2,425,--,26,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
ANAROCK Property Consultants,3.8,425,71,47,,"Promotions / Appraisal, Work Satisfaction"
Glorious Insight,4.7,424,--,2,"Job Security, Company Culture, Work Satisfaction",
HealthifyMe,3.0,424,9,45,,"Job Security, Promotions / Appraisal, Work Life Balance"
Coats,3.9,424,3,19,"Company Culture, Work Life Balance",Promotions / Appraisal
Paras Dairy,3.5,424,--,16,,"Job Security, Promotions / Appraisal, Company Culture"
Canon,4.1,423,4,15,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
RAK Ceramics,4.0,423,1,29,Skill Development / Learning,Promotions / Appraisal
Hettich,4.1,423,2,28,"Job Security, Work Life Balance, Company Culture",
ReSource Pro,4.1,423,18,79,"Company Culture, Salary & Benefits, Work Life Balance",
Cashify,3.8,423,2,37,,Job Security
Accion Labs,3.4,423,37,65,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Surin Automotive,3.9,423,--,18,Salary & Benefits,
Cadbury,4.4,422,--,19,"Skill Development / Learning, Company Culture, Salary & Benefits",
Webskitters,4.4,422,1,12,"Skill Development / Learning, Company Culture, Job Security",
ExportersIndia,4.9,422,14,23,"Company Culture, Job Security, Promotions / Appraisal",
Marelli,3.8,422,5,34,Work Life Balance,Promotions / Appraisal
RuralShores,3.9,422,5,15,,Promotions / Appraisal
South Indian Bank,3.5,422,--,68,"Job Security, Salary & Benefits","Work Satisfaction, Promotions / Appraisal, Work Life Balance"
Danfoss Industries,4.0,422,10,28,"Work Life Balance, Company Culture, Skill Development / Learning",
Orient Craft,3.7,421,--,7,,
Mecon,4.0,421,--,40,Work Life Balance,"Promotions / Appraisal, Job Security"
Healthians,3.5,421,15,38,,"Promotions / Appraisal, Job Security, Company Culture"
Writer Information Management Services,3.3,421,4,23,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
VDA Infosolutions,3.9,420,1,22,"Job Security, Company Culture, Work Life Balance",
Transport Corporation Of India,4.1,420,--,23,"Job Security, Skill Development / Learning",
Etech Global Services,4.3,420,13,37,"Job Security, Company Culture, Work Satisfaction",
ACKO,3.7,420,5,40,,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
People Tech Group,2.7,420,4,59,,"Job Security, Promotions / Appraisal, Salary & Benefits"
Tuaman Engineering,4.1,420,--,26,"Salary & Benefits, Job Security, Skill Development / Learning",
NLC India Limited,4.5,420,--,22,"Work Life Balance, Job Security, Work Satisfaction",
Wissen Infotech,3.8,420,76,42,Work Life Balance,Promotions / Appraisal
BSCPL Infrastructure,3.8,419,6,27,,"Salary & Benefits, Promotions / Appraisal"
Crystal Crop Protection,4.0,419,--,14,,Promotions / Appraisal
Reshamandi,3.6,419,--,15,,"Job Security, Promotions / Appraisal"
McNally Bharat Engineering,4.1,419,--,11,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
CSG International,4.1,419,3,48,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
Jindal Poly Films,3.6,419,--,33,,"Promotions / Appraisal, Company Culture, Job Security"
Sapphire Foods India,4.0,419,9,17,"Skill Development / Learning, Salary & Benefits, Company Culture",
Toyota Industries Engine India,4.3,419,--,24,"Company Culture, Salary & Benefits, Skill Development / Learning",Promotions / Appraisal
Educomp Solutions,3.6,418,--,5,,"Job Security, Salary & Benefits, Promotions / Appraisal"
BUSINESSNEXT,3.6,418,14,54,,"Work Satisfaction, Promotions / Appraisal, Salary & Benefits"
Radico Khaitan,3.9,418,--,21,Job Security,Promotions / Appraisal
Carlsberg,4.2,417,--,24,"Salary & Benefits, Job Security, Company Culture",
Gopal Snacks Limited,4.5,417,--,27,"Company Culture, Work Satisfaction, Skill Development / Learning",
Bajaj Capital Insurance,3.6,417,--,20,,"Promotions / Appraisal, Work Satisfaction, Work Life Balance"
Pathkind Diagnostics Private Limited,4.0,417,9,43,"Skill Development / Learning, Work Life Balance, Salary & Benefits",
Novac Technology Solutions,3.9,416,26,57,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Nelito System,3.6,416,1,23,,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
Magic Edtech,3.1,416,2,45,,"Promotions / Appraisal, Salary & Benefits, Job Security"
Dr. Reddy's Foundation,4.0,416,26,49,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
Jayaswal Neco Industries,4.1,416,--,24,"Job Security, Skill Development / Learning",Promotions / Appraisal
IKEA,4.0,416,1,27,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
KnowledgeHut,4.5,414,--,10,"Skill Development / Learning, Work Life Balance, Work Satisfaction",
Riya Travel,3.7,414,4,9,,"Promotions / Appraisal, Salary & Benefits"
Wellness Forever Medicare,3.9,414,8,42,"Skill Development / Learning, Company Culture",Promotions / Appraisal
IDP Education Limited,3.6,414,12,54,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
Trianz,3.5,414,27,43,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Sapiens,3.4,413,45,55,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
Pace Setters Business Solutions,3.3,413,3,19,,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction"
Dodsal Engineering & Construction,4.5,413,--,16,"Work Satisfaction, Company Culture, Work Life Balance",
Gainwell Commosales,4.2,413,--,32,"Job Security, Skill Development / Learning, Company Culture",
McCain Foods,4.2,413,17,31,"Salary & Benefits, Company Culture, Skill Development / Learning",
BLK Super Speciality Hospital,4.1,413,--,23,"Skill Development / Learning, Job Security",Promotions / Appraisal
Texmo Industries,3.9,413,3,21,"Company Culture, Job Security","Promotions / Appraisal, Salary & Benefits"
TriGeo Technologies,3.2,413,--,25,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Maersk Line,4.3,413,--,29,"Work Life Balance, Company Culture, Salary & Benefits",
Vindhya Telelinks,4.1,413,1,31,"Job Security, Work Life Balance, Salary & Benefits",
Virtual Employee,3.4,413,--,43,,"Promotions / Appraisal, Job Security, Skill Development / Learning"
Pamac Finserve,3.4,412,--,18,,"Promotions / Appraisal, Salary & Benefits, Work Life Balance"
Craftsman Automation,3.9,412,--,16,"Salary & Benefits, Skill Development / Learning","Company Culture, Work Life Balance, Job Security"
Magneti Marelli Motherson Auto System,3.9,412,--,20,"Job Security, Skill Development / Learning",
Zycus Infotech,3.0,412,157,64,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Baoiam Innovations,4.6,412,--,18,"Work Life Balance, Company Culture, Skill Development / Learning",
Macawber Beekay,4.1,412,1,12,"Job Security, Work Life Balance, Skill Development / Learning",
AT&T,4.1,412,157,50,"Salary & Benefits, Work Life Balance, Company Culture",
Krsnaa Diagnostics,3.7,412,10,20,,"Promotions / Appraisal, Salary & Benefits"
Sasken,3.5,411,50,70,,"Promotions / Appraisal, Job Security, Work Satisfaction"
R.S. Infraprojects,4.0,411,4,18,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Reliance Jewels,3.9,411,--,26,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
Anlitiks,4.8,410,--,--,"Company Culture, Work Life Balance, Job Security",
Bharat Gears,4.1,410,--,22,"Job Security, Skill Development / Learning, Company Culture","Promotions / Appraisal, Salary & Benefits"
Monte Carlo,4.2,410,3,22,"Salary & Benefits, Work Life Balance, Company Culture",
Congruex Asia Pacific,3.3,410,2,44,,"Promotions / Appraisal, Work Satisfaction, Job Security"
ExxonMobil,3.8,410,11,65,Salary & Benefits,"Promotions / Appraisal, Work Satisfaction"
Blackrock,3.9,410,--,98,"Company Culture, Skill Development / Learning, Job Security","Promotions / Appraisal, Salary & Benefits"
Marble Box,4.1,410,7,26,"Company Culture, Work Life Balance, Salary & Benefits",
CodeClouds,4.5,410,--,29,"Company Culture, Work Life Balance, Salary & Benefits",
Pinnacle Infotech,3.6,409,8,56,"Job Security, Skill Development / Learning","Company Culture, Promotions / Appraisal, Work Life Balance"
Wood Group,3.7,409,53,50,Salary & Benefits,Promotions / Appraisal
Universal Sompo General Insurance,3.8,409,--,20,,Promotions / Appraisal
Sulzer,3.9,408,2,26,Salary & Benefits,Promotions / Appraisal
Watchyourhealth.com,4.8,408,--,6,"Salary & Benefits, Company Culture, Skill Development / Learning",
Spoton Logistics,4.5,407,7,16,"Company Culture, Work Satisfaction, Skill Development / Learning",
IRB Infrastructure,4.0,407,--,17,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
Zolo,3.5,406,21,47,,"Promotions / Appraisal, Work Satisfaction, Work Life Balance"
IL&FS Engineering and Construction,4.4,406,--,13,"Company Culture, Work Life Balance, Work Satisfaction",
FMC Corporation,4.1,406,46,33,"Work Life Balance, Salary & Benefits, Skill Development / Learning",
Hindusthan National Glass,3.6,406,--,28,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Castrol,4.2,406,--,20,"Salary & Benefits, Work Life Balance, Company Culture",
Ergode IT Services,3.5,406,10,16,,"Job Security, Promotions / Appraisal, Company Culture"
Yokohama,3.7,406,3,18,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
Tredence,3.6,406,31,115,Skill Development / Learning,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
Roop Polymers,4.0,406,--,20,"Job Security, Company Culture",Promotions / Appraisal
S P Singla Constructions,3.7,405,--,27,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Wockhardt Hospital,4.3,405,10,16,"Skill Development / Learning, Company Culture, Work Life Balance",
Electrosteel Casting,3.8,405,11,38,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Innominds Software,3.1,405,5,41,,"Promotions / Appraisal, Job Security, Salary & Benefits"
Cairn Energy,4.1,405,--,29,"Salary & Benefits, Work Life Balance, Skill Development / Learning",Job Security
Emerson Electric Co.,4.1,405,210,46,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
India Post,3.8,404,--,17,"Job Security, Work Life Balance","Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
Technotask Business Solutions,3.5,404,--,45,,"Promotions / Appraisal, Salary & Benefits, Job Security"
Mavenir Systems,3.7,404,8,48,,"Promotions / Appraisal, Work Life Balance, Company Culture"
Andritz Hydro Location India,3.8,404,29,22,,Promotions / Appraisal
ZTE Corporation,3.9,403,--,19,,"Job Security, Promotions / Appraisal, Salary & Benefits"
Magic Bus India Foundation,3.9,403,7,24,"Skill Development / Learning, Company Culture",Promotions / Appraisal
M Square Media,4.4,403,--,24,"Work Life Balance, Company Culture, Work Satisfaction",
Deloitte Digital,3.9,403,--,53,"Company Culture, Skill Development / Learning, Job Security",
Navin Fluorine International,3.9,402,2,26,"Job Security, Salary & Benefits","Promotions / Appraisal, Skill Development / Learning"
Indecomm Global Services,3.8,402,10,24,,"Promotions / Appraisal, Salary & Benefits"
Bharat Biotech International,3.2,402,4,47,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Bahwan Engineering,4.2,401,2,21,"Job Security, Company Culture, Work Satisfaction",Promotions / Appraisal
Aster Dm Healthcare,3.8,401,58,37,,"Promotions / Appraisal, Salary & Benefits"
Central Public Works Department,4.2,401,--,12,"Work Life Balance, Work Satisfaction, Skill Development / Learning",Promotions / Appraisal
Iksula,3.6,401,2,26,,"Promotions / Appraisal, Job Security, Salary & Benefits"
PureSoftware,3.3,401,99,48,,"Job Security, Promotions / Appraisal, Skill Development / Learning"
N+A,3.8,401,10,122,Skill Development / Learning,
Wipro HR Services,3.4,400,--,44,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Almarai,4.3,400,--,15,"Company Culture, Skill Development / Learning, Job Security",
MediBuddy,3.9,400,1,29,"Salary & Benefits, Work Life Balance, Company Culture",
FinThrive,3.8,400,10,18,Work Life Balance,Promotions / Appraisal
Acadecraft,3.4,400,8,51,,"Job Security, Promotions / Appraisal, Salary & Benefits"
Paramount Health Services Tpa,3.8,400,16,24,Job Security,"Promotions / Appraisal, Salary & Benefits"
LIC Housing Finance,4.1,399,--,16,"Job Security, Salary & Benefits, Skill Development / Learning",
SIS Prosegur Holdings,3.6,399,7,11,,"Promotions / Appraisal, Salary & Benefits, Work Life Balance"
Senco Gold,4.0,399,2,24,"Job Security, Skill Development / Learning, Company Culture",
Sarovar Hotels & Resorts,4.2,399,9,8,"Work Life Balance, Work Satisfaction, Job Security",
Serum Institute of India,4.2,399,--,28,"Job Security, Work Life Balance, Salary & Benefits",Promotions / Appraisal
Fena,4.1,398,3,19,"Job Security, Salary & Benefits",
Hero Cycles,3.6,398,5,39,,"Promotions / Appraisal, Work Satisfaction, Job Security"
Pepperfry,3.3,398,--,30,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Sterling Holiday Resort,3.9,398,20,19,,
GAVS Technologies,3.8,398,7,54,,Promotions / Appraisal
Magus Customer Dialog,3.7,397,--,10,Skill Development / Learning,Salary & Benefits
Jorie Healthcare,4.6,397,1,6,"Company Culture, Job Security, Work Life Balance",
Anmol Industries,3.9,397,--,24,,
Accel Frontline,3.9,397,20,7,,Promotions / Appraisal
Siemens Healthineers,4.0,397,--,57,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Otsuka Pharmaceutical India Private Limited,4.2,396,13,24,"Job Security, Work Life Balance, Company Culture",
Westin,4.0,396,--,19,"Job Security, Skill Development / Learning, Company Culture",
OLX Autos,3.9,396,--,24,Salary & Benefits,"Job Security, Promotions / Appraisal"
Hpl Electric & Power,3.5,396,--,26,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Larsen & Toubro Group,4.1,395,--,92,"Job Security, Skill Development / Learning, Company Culture",
Karvy DigiKonnect,3.1,395,--,7,,"Salary & Benefits, Job Security, Promotions / Appraisal"
Puropale Creations & IT Solutions,4.6,395,--,1,"Company Culture, Job Security, Skill Development / Learning",
Uttar Pradesh Power Corporation,4.1,395,--,7,Work Life Balance,Promotions / Appraisal
Great Learning,3.8,395,9,54,,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
Prestige Group,4.3,395,16,35,"Job Security, Work Life Balance, Company Culture",
Home First Finance Company India,3.8,394,160,50,"Company Culture, Job Security, Salary & Benefits",Work Life Balance
GD Goenka Public School,3.7,394,12,33,,"Promotions / Appraisal, Job Security, Salary & Benefits"
Prime Focus Technologies,3.5,394,9,38,,"Promotions / Appraisal, Salary & Benefits, Job Security"
Mahindra Integrated Business Solutions,3.5,394,--,26,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Hafele,4.1,394,6,25,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Narayana e-Techno School,3.6,394,1,28,,"Promotions / Appraisal, Work Life Balance, Salary & Benefits"
Recpdcl.ltd,4.0,393,--,17,,"Job Security, Promotions / Appraisal"
Dusters Total Solutions Services,3.9,393,1,15,,Promotions / Appraisal
British Council,3.6,393,--,20,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Job Security"
Sayaji Hotels,4.2,393,--,11,"Company Culture, Skill Development / Learning, Work Life Balance",
Elite Elevators,3.8,393,45,29,"Salary & Benefits, Skill Development / Learning, Promotions / Appraisal",
Alcon,3.7,393,25,31,,"Promotions / Appraisal, Job Security, Work Satisfaction"
UTL Solar,3.6,393,14,37,,"Promotions / Appraisal, Salary & Benefits, Job Security"
PayU Payments,3.6,393,37,45,,"Promotions / Appraisal, Job Security, Work Satisfaction"
smartData Enterprises,3.4,393,5,28,,"Job Security, Salary & Benefits, Work Life Balance"
Micron Electricals,4.0,393,--,28,"Job Security, Skill Development / Learning",
Al Turki Enterprises,3.7,392,--,16,,"Promotions / Appraisal, Company Culture, Salary & Benefits"
Ciena,4.4,392,--,33,"Company Culture, Work Life Balance, Salary & Benefits",
Ebixcash Global Services,3.5,392,3,35,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
GSPANN Technologies,4.4,392,30,33,"Work Life Balance, Company Culture, Job Security",
Global Healthcare Billing Partners,3.5,392,84,29,,"Company Culture, Promotions / Appraisal, Skill Development / Learning"
Iron Mountain Inc,3.9,391,4,21,"Work Life Balance, Company Culture",Promotions / Appraisal
Allianz Services,4.3,391,18,23,"Job Security, Company Culture, Work Life Balance",
Nibav Lifts,3.9,391,10,35,"Salary & Benefits, Skill Development / Learning",
MITS GLOBAL CONSULTING,4.7,391,--,18,"Work Life Balance, Company Culture, Work Satisfaction",
Vedanta Limited,3.8,391,--,43,"Salary & Benefits, Job Security","Work Life Balance, Promotions / Appraisal"
Shivalik Small Finance Bank,3.9,391,17,31,Skill Development / Learning,
Juniper Networks,4.2,390,62,66,"Company Culture, Work Life Balance, Salary & Benefits",
QHTalbros,3.6,390,3,14,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Consulting Engineers Group,4.2,390,3,28,"Work Life Balance, Company Culture, Work Satisfaction",
Juniper Networks,4.2,390,62,66,"Company Culture, Work Life Balance, Salary & Benefits",
Padget Electronics,4.0,390,--,44,"Skill Development / Learning, Job Security, Work Satisfaction",
ABC Consultants,3.9,390,115,145,"Work Life Balance, Job Security, Company Culture",
Sterling,3.9,389,--,31,,
Emaar India Limited,3.6,389,14,21,,"Promotions / Appraisal, Job Security, Skill Development / Learning"
Satyam Auto Components,3.8,389,1,26,Job Security,"Promotions / Appraisal, Salary & Benefits"
Nagarjuna Fertilizers and Chemicals,4.0,388,--,16,"Skill Development / Learning, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
QUICK HEAL TECHNOLOGIES,3.8,388,--,25,,"Promotions / Appraisal, Salary & Benefits"
Allcargo Logistics,3.8,388,2,22,Job Security,Promotions / Appraisal
DB Schenker,4.3,388,9,14,"Company Culture, Skill Development / Learning, Work Life Balance",
Debtcare Enterprises,4.5,387,--,9,"Company Culture, Skill Development / Learning, Job Security",
L&T Heavy Engineering,4.2,387,--,11,"Skill Development / Learning, Job Security, Work Satisfaction",
Eugia Pharma Specialities,4.1,387,--,21,"Job Security, Salary & Benefits, Work Life Balance",
H & R Johnson,3.6,387,--,8,,"Work Satisfaction, Promotions / Appraisal, Company Culture"
Suprajit Engineering,3.9,387,5,29,"Job Security, Skill Development / Learning",Salary & Benefits
N.C.L. Industries,3.8,386,41,32,Job Security,"Promotions / Appraisal, Salary & Benefits"
Voyants Solutions,3.6,386,1,35,,"Promotions / Appraisal, Salary & Benefits, Job Security"
Alight Solutions,3.8,386,23,23,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits"
Rakuten,3.7,386,16,82,Work Life Balance,Promotions / Appraisal
Enco Engineers Combine,3.6,386,--,15,,"Promotions / Appraisal, Company Culture, Work Life Balance"
GHCL Limited,4.0,386,1,25,"Work Life Balance, Job Security, Company Culture",
Consero Global Solutions,3.3,385,2,88,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Satyam Venture Engineering Services,3.9,385,42,22,"Job Security, Work Life Balance",Promotions / Appraisal
Vijai Electricals,3.6,385,2,13,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Acme Generics LLP,4.2,385,--,9,"Skill Development / Learning, Salary & Benefits, Work Life Balance",
Revent Group,3.9,385,--,15,Work Life Balance,Promotions / Appraisal
National Stock Exchange of India,3.6,385,1,44,Job Security,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
Systra Consulting,4.0,385,--,30,Work Life Balance,Promotions / Appraisal
Brainvire,3.3,384,3,20,,"Promotions / Appraisal, Job Security, Salary & Benefits"
Ess Kay Fincorp,4.0,384,6,12,"Company Culture, Skill Development / Learning, Work Satisfaction",
Giesecke & Devrient,3.7,384,11,25,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
Eli Lilly and Company,4.0,384,83,60,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
Reliance Life Sciences,3.6,383,17,19,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Reliance Projects & Property Management Services,4.1,383,--,22,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Galaxy Surfactants,3.9,383,2,21,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
Jiva Ayurvedic Pharmacy,3.8,383,26,30,Job Security,"Promotions / Appraisal, Salary & Benefits"
Avery Dennison,4.0,382,29,21,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
Novotel Hotels,4.3,382,--,18,"Job Security, Skill Development / Learning, Company Culture",
V.S.T Tillers Tractors,3.6,382,--,31,,"Promotions / Appraisal, Company Culture, Salary & Benefits"
Amri Hospital,4.0,381,--,26,"Skill Development / Learning, Job Security",Promotions / Appraisal
Le Méridien,4.3,381,--,18,"Skill Development / Learning, Job Security, Company Culture",
Rusan Pharma,3.5,381,4,20,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
HUDL,3.3,381,4,46,,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
Legrand,3.7,381,--,16,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
LEAP India Private Limited,4.6,381,12,19,"Skill Development / Learning, Salary & Benefits, Company Culture",
Nivea,4.3,380,5,18,"Salary & Benefits, Company Culture, Work Life Balance",
In Time Tec Visionsoft,4.1,380,34,33,"Skill Development / Learning, Company Culture, Job Security",
Enterprise Growth Accelerator,3.5,380,--,11,,"Job Security, Skill Development / Learning, Promotions / Appraisal"
Tractebel,4.0,380,3,39,"Salary & Benefits, Work Satisfaction",
ByteDance,4.2,380,--,33,"Company Culture, Work Life Balance, Salary & Benefits",
GS Lab,3.8,379,--,55,"Work Life Balance, Company Culture",
Reliance Capital,3.8,379,3,18,Company Culture,Promotions / Appraisal
Global Autotech,4.0,379,2,45,"Skill Development / Learning, Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Applied Materials,4.0,379,72,67,"Job Security, Company Culture, Skill Development / Learning",
Reliance Infrastructure,4.1,379,1,23,"Work Life Balance, Company Culture",
Onshore Construction,3.8,379,2,19,,"Promotions / Appraisal, Company Culture, Work Life Balance"
Allianz Partners,3.8,379,17,28,Job Security,Promotions / Appraisal
Varuna Integrated Logistics,3.7,379,92,34,,Promotions / Appraisal
Varuna Integrated Logistics,3.7,379,92,34,,Promotions / Appraisal
Swastika Investmart,4.4,379,5,12,"Company Culture, Job Security, Work Life Balance",
Sandoz,4.0,379,317,15,"Salary & Benefits, Company Culture, Work Life Balance",Promotions / Appraisal
Black Knight,3.6,378,--,28,,"Promotions / Appraisal, Company Culture, Skill Development / Learning"
Lernx,4.1,378,--,51,"Skill Development / Learning, Company Culture, Work Life Balance",
Finolex Industries,3.9,378,2,30,"Work Life Balance, Job Security","Promotions / Appraisal, Skill Development / Learning"
DATAMARK BPO SERVICE (P) LTD,3.7,378,13,19,Job Security,Promotions / Appraisal
Jubilant Ingrevia,3.8,378,--,32,Job Security,Promotions / Appraisal
Toyoda Gosei Minda,4.2,377,--,20,"Job Security, Skill Development / Learning, Work Life Balance",
Bharat Fritz Werner,3.8,377,2,21,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Regalix,2.9,377,56,42,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Mobile Programming,2.9,377,40,60,,"Job Security, Promotions / Appraisal, Company Culture"
Red Hat,4.3,377,11,55,"Work Life Balance, Company Culture, Skill Development / Learning",
Metro Group of Hospitals,3.8,377,3,12,,"Salary & Benefits, Promotions / Appraisal, Company Culture"
Leighton Contractors,4.2,377,--,13,"Salary & Benefits, Company Culture, Work Life Balance",Job Security
Value Point Systems,3.8,376,12,19,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
F1 Info Solutions and Services,3.8,376,--,15,,"Promotions / Appraisal, Job Security, Salary & Benefits"
Maharashtra Seamless,3.6,376,1,38,Job Security,"Promotions / Appraisal, Company Culture, Salary & Benefits"
Capital Business Systems,3.7,375,9,20,,"Promotions / Appraisal, Salary & Benefits, Job Security"
Groupm Media,4.0,375,3,31,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
Chaitanya India Fin Credit,4.1,375,4,26,"Company Culture, Skill Development / Learning, Work Life Balance",
SNS College of Technology,4.9,374,--,17,"Company Culture, Work Satisfaction, Skill Development / Learning",
Schwing Stetter,4.1,374,55,26,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
PULSUS HealthTech Group,3.9,374,--,31,"Work Life Balance, Company Culture, Skill Development / Learning",
Ryan,4.5,374,18,20,"Job Security, Company Culture, Work Life Balance",
Del Monte Foods,4.0,374,9,15,"Work Life Balance, Job Security",Promotions / Appraisal
Subex,3.5,373,--,33,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Jubilant Agri and Consumer Products,4.0,373,--,27,"Work Life Balance, Salary & Benefits, Company Culture",Promotions / Appraisal
Securitas,3.8,373,4,28,,Promotions / Appraisal
Tata International,3.7,373,10,17,Job Security,Promotions / Appraisal
Kokilaben Dhirubhai Ambani Hospital,3.8,373,11,19,"Skill Development / Learning, Job Security","Promotions / Appraisal, Salary & Benefits"
BDO,3.3,373,4,41,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Orra Fine Jewellery,3.6,373,27,28,,"Work Satisfaction, Company Culture, Promotions / Appraisal"
360 Realtors,3.9,373,16,35,"Skill Development / Learning, Company Culture, Promotions / Appraisal",
Scientific Publishing Services,3.9,372,--,16,Job Security,"Promotions / Appraisal, Salary & Benefits"
Ralson Tyres Limited,3.7,372,9,33,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture"
DFM Foods,4.1,372,9,28,"Salary & Benefits, Company Culture, Work Life Balance",
EC-Council,4.5,372,2,18,"Work Life Balance, Job Security, Work Satisfaction",
Dimension Data,4.3,371,--,8,"Work Life Balance, Skill Development / Learning, Company Culture",
Orcapod Consulting Services,3.4,371,11,24,,"Promotions / Appraisal, Job Security, Salary & Benefits"
Aurionpro Solutions,3.5,371,31,26,,"Promotions / Appraisal, Company Culture, Skill Development / Learning"
Lakme,4.1,371,1,14,"Skill Development / Learning, Job Security, Salary & Benefits",Promotions / Appraisal
Datamatics Business Solutions,3.4,371,13,37,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Country Holidays Travel India,4.3,370,--,404,"Work Life Balance, Company Culture, Work Satisfaction",
Vimta Labs,3.5,370,7,29,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
BKT Tyres,4.0,370,11,52,"Job Security, Salary & Benefits",
